"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.509484583E0,-1.726571321E0,3.337286115E-1,2.806427240E0,3.311866116E0
2.519466583E0,-1.761226892E0,2.828287482E-1,2.934763670E0,3.434348565E0
2.529448583E0,-1.767782807E0,2.326134890E-1,3.057806730E0,3.539681778E0
2.539430583E0,-1.722200394E0,2.034607530E-1,3.130686283E0,3.578905849E0
2.549412583E0,-1.638659477E0,1.490265429E-1,3.149813890E0,3.553694041E0
2.559394583E0,-1.536120534E0,7.846020907E-2,3.135684252E0,3.492611920E0
2.569376583E0,-1.393289328E0,1.437203865E-2,3.045920610E0,3.349491614E0
2.579358583E0,-1.196816325E0,-5.698915105E-3,2.877004862E0,3.116016490E0
2.589340583E0,-9.780263901E-1,4.167564213E-3,2.627610683E0,2.803728035E0
2.599322583E0,-7.992934585E-1,2.361351997E-2,2.301316023E0,2.436284685E0
2.609304583E0,-7.170912623E-1,1.514653023E-2,1.938472748E0,2.066912163E0
2.619286583E0,-7.491045594E-1,-1.223717257E-2,1.580991864E0,1.749526411E0
2.629268583E0,-8.690900803E-1,-2.333456464E-2,1.282315731E0,1.549256500E0
2.639250583E0,-1.051651478E0,-4.720148165E-3,1.072919607E0,1.502381308E0
2.649232583E0,-1.266972065E0,1.576142386E-2,9.548686743E-1,1.586581489E0
2.659214583E0,-1.482816339E0,5.884524435E-2,9.027919173E-1,1.737020525E0
2.669196583E0,-1.670966268E0,1.210180745E-1,8.872912526E-1,1.895800466E0
2.679178583E0,-1.812100530E0,1.766840369E-1,8.915393353E-1,2.027256265E0
2.689160583E0,-1.901243210E0,2.400624901E-1,9.061188102E-1,2.119765798E0
2.699142583E0,-1.947665811E0,3.044201732E-1,9.362846017E-1,2.182361704E0
2.709124583E0,-1.967646480E0,3.286213875E-1,9.884399772E-1,2.226350887E0
2.719106583E0,-1.973433495E0,3.154522181E-1,1.068631887E0,2.266257702E0
2.729088583E0,-1.961720347E0,2.773426771E-1,1.177804708E0,2.304883861E0
2.739070583E0,-1.933929086E0,2.340821922E-1,1.328901768E0,2.358146749E0
2.749052583E0,-1.891789079E0,1.903102100E-1,1.517389178E0,2.432602272E0
2.759034167E0,-1.865432858E0,1.307580471E-1,1.735235453E0,2.551074184E0
2.769016167E0,-1.861174822E0,8.518335968E-2,1.948474050E0,2.695881868E0
2.778998167E0,-1.881277204E0,5.850866437E-2,2.149313927E0,2.856952491E0
2.788980167E0,-1.913964629E0,6.262458116E-2,2.335473061E0,3.020201460E0
2.798962167E0,-1.938448191E0,1.113075241E-1,2.506937981E0,3.170916081E0
2.808944167E0,-1.944439769E0,1.946572810E-1,2.650468826E0,3.292980788E0
2.818926167E0,-1.930325389E0,2.981105149E-1,2.755358934E0,3.377429325E0
2.828908167E0,-1.897276402E0,4.023453295E-1,2.843388557E0,3.441859671E0
2.838890167E0,-1.845604777E0,4.972368181E-1,2.898338556E0,3.471868061E0
2.848872167E0,-1.775937557E0,5.742139220E-1,2.913951874E0,3.460461148E0
2.858854167E0,-1.672102571E0,6.101126075E-1,2.877823591E0,3.383789743E0
2.868836167E0,-1.533250451E0,5.890144706E-1,2.789539814E0,3.237178921E0
2.878818167E0,-1.370290518E0,5.429974794E-1,2.655996084E0,3.037574290E0
2.888800167E0,-1.168869853E0,4.597702324E-1,2.491318703E0,2.790038401E0
2.898782167E0,-9.434126616E-1,3.516149223E-1,2.324863195E0,2.533505354E0
2.908764167E0,-7.183121443E-1,2.242495269E-1,2.136308193E0,2.264966420E0
2.918746167E0,-5.373491049E-1,1.062883511E-1,1.898681998E0,1.976116040E0
2.928728167E0,-3.952828348E-1,1.925278828E-2,1.604066849E0,1.652165138E0
2.938710167E0,-2.660959065E-1,-1.552058384E-2,1.249578595E0,1.277691115E0
2.948692167E0,-1.288935691E-1,3.765395284E-2,8.761567473E-1,8.863870589E-1
2.958674167E0,2.886462398E-2,1.802524030E-1,5.272356868E-1,5.579440516E-1
2.968656167E0,2.017125636E-1,3.791306019E-1,2.222430408E-1,4.835493158E-1
2.978638167E0,3.467389047E-1,5.416322947E-1,-2.258203365E-2,6.435086316E-1
2.988620167E0,4.671649337E-1,6.371737123E-1,-2.274299860E-1,8.221665363E-1
2.998602167E0,5.752581954E-1,7.127134800E-1,-4.163278937E-1,1.006087179E0
3.008584167E0,6.470186710E-1,7.386680841E-1,-6.296742558E-1,1.166513338E0
3.018566167E0,6.745036244E-1,6.849735975E-1,-8.897873759E-1,1.309910510E0
3.028548167E0,6.907638311E-1,5.872963071E-1,-1.167976379E0,1.478594077E0
3.038530167E0,7.243407965E-1,4.747324586E-1,-1.447933912E0,1.687173112E0
3.048512167E0,7.798000574E-1,3.591816425E-1,-1.703892112E0,1.907969578E0
3.058494167E0,8.771466613E-1,2.390955538E-1,-1.918559670E0,2.123069513E0
3.068476167E0,1.010349751E0,1.054887623E-1,-2.074700594E0,2.310046980E0
3.078458167E0,1.179725766E0,-4.866845906E-2,-2.182204008E0,2.481156149E0
3.088440167E0,1.375897408E0,-1.910285354E-1,-2.253119707E0,2.646910273E0
3.098422167E0,1.580854297E0,-3.157442510E-1,-2.296839476E0,2.806112314E0
3.108404167E0,1.781004429E0,-4.601962268E-1,-2.332232237E0,2.970364380E0
3.118386167E0,1.966355681E0,-6.061204672E-1,-2.374772787E0,3.142209808E0
